sex,internetdailyhour,transport,vehicletype,monthlygrocerybill,frequencyoftravelingbyair,vehiclemonthlydistancekm,wastebagweeklycount,timespentonpc,carbonemission
male,7,private,electric,142,very frequently,2883,7,16,2629
female,13,public,,167,frequently,1659,5,5,1670
female,17,private,electric,192,very frequently,1051,3,9,2069
female,23,public,,151,rarely,1861,2,7,1308
female,2,walk/bicycle,,96,very frequently,6,6,2,2225
male,7,walk/bicycle,,89,frequently,32,2,17,1540
male,14,private,electric,77,very frequently,4281,1,19,2625
female,1,walk/bicycle,,94,very frequently,72,4,15,2313
male,16,public,,236,never,1377,1,2,1552
female,7,public,,112,frequently,1930,6,20,2323
male,6,private,diesel,295,very frequently,7701,7,12,5250
female,17,public,,64,frequently,1103,7,15,2138
male,23,public,,89,frequently,1856,5,16,2534
male,15,public,,209,very frequently,1544,3,21,2502
male,16,public,,84,frequently,1470,4,20,2143
male,23,public,,56,frequently,242,1,7,1880
male,20,private,electric,209,very frequently,7905,4,17,3058
female,10,walk/bicycle,,176,frequently,75,4,9,1536
male,20,private,hybrid,285,frequently,4313,6,21,2716
male,12,private,diesel,94,very frequently,7992,7,24,5662
male,22,walk/bicycle,,84,frequently,31,1,15,2176
male,20,private,diesel,248,never,189,3,12,1890
female,5,private,hybrid,156,frequently,4070,4,19,2475
female,5,walk/bicycle,,162,frequently,67,5,13,1646
male,1,private,electric,190,very frequently,7322,1,5,2551
male,17,public,,242,very frequently,1595,1,20,3344
male,4,public,,272,very frequently,1597,5,6,3037
male,22,walk/bicycle,,116,rarely,24,4,1,1331
male,3,public,,74,rarely,1875,7,17,1173
female,12,walk/bicycle,,258,frequently,74,7,2,2395
male,18,public,,218,rarely,1462,1,4,1457
female,7,walk/bicycle,,229,frequently,22,4,7,2383
female,18,private,diesel,67,very frequently,6384,5,11,3990
male,0,private,petrol,247,rarely,5479,1,22,3463
female,9,public,,289,very frequently,458,5,21,2517
female,7,walk/bicycle,,216,frequently,56,6,20,2516
male,9,walk/bicycle,,278,frequently,45,4,7,1753
female,21,public,,128,rarely,1990,3,1,1275
male,12,private,hybrid,169,frequently,2584,6,16,2743
female,10,private,hybrid,71,frequently,6667,1,0,2905
male,17,private,lpg,51,never,976,3,11,1639
female,12,walk/bicycle,,262,frequently,49,1,15,1385
female,16,public,,64,very frequently,664,2,12,1985
female,8,walk/bicycle,,286,never,15,5,10,1250
female,23,private,hybrid,187,frequently,2254,2,18,2393
female,13,private,petrol,152,never,957,1,16,974
male,14,public,,128,never,1894,6,8,1330
male,5,public,,114,very frequently,370,1,3,3106
female,7,walk/bicycle,,162,frequently,12,4,7,2020
male,10,private,hybrid,178,never,4157,3,24,1915
female,0,walk/bicycle,,277,very frequently,96,2,24,2336
female,19,public,,146,frequently,1221,6,18,1800
male,8,private,lpg,128,rarely,5716,6,9,2767
female,22,walk/bicycle,,213,frequently,13,7,11,2336
male,8,private,petrol,273,rarely,3263,6,8,4087
female,11,public,,143,rarely,658,5,15,1117
male,16,private,diesel,259,very frequently,8046,6,15,5583
female,10,private,lpg,50,never,2733,1,13,1266
male,8,private,lpg,222,frequently,6767,2,1,3529
male,21,private,hybrid,292,very frequently,2727,2,18,4340
female,21,private,electric,199,never,9805,2,18,725
male,16,public,,254,frequently,304,3,23,2499
male,3,private,petrol,194,very frequently,3150,2,2,3730
male,14,public,,109,frequently,902,3,6,1896
male,20,private,hybrid,225,very frequently,1546,3,20,2941
female,4,private,diesel,121,very frequently,1996,6,3,3128
female,8,public,,67,frequently,1541,7,20,2439
female,1,private,petrol,186,very frequently,8291,5,14,6037
female,0,private,electric,145,never,5932,7,2,1309
female,7,public,,132,rarely,1015,1,15,933
female,22,public,,236,rarely,1713,3,15,1489
female,21,walk/bicycle,,197,frequently,64,5,20,2023
male,8,public,,292,frequently,1893,4,11,1485
male,24,walk/bicycle,,292,frequently,16,7,3,1451
male,9,public,,86,rarely,1727,6,15,1896
female,9,private,lpg,230,rarely,5606,3,11,2353
female,0,walk/bicycle,,56,never,71,5,10,1349
male,13,walk/bicycle,,229,never,33,6,14,1576
female,0,private,diesel,80,never,3000,7,22,2252
male,1,public,,148,never,698,2,14,1009
female,6,walk/bicycle,,236,rarely,82,4,8,971
female,22,walk/bicycle,,216,very frequently,37,5,8,2141
male,1,private,hybrid,296,never,680,7,17,2146
male,18,public,,288,very frequently,1380,5,14,3878
male,17,walk/bicycle,,252,frequently,36,4,4,2463
female,1,private,diesel,188,very frequently,3996,3,24,3022
male,5,private,lpg,274,rarely,3604,1,6,2825
female,15,public,,272,frequently,774,4,10,2341
female,11,public,,70,very frequently,1591,6,20,2545
male,11,private,hybrid,180,very frequently,2525,5,17,2883
female,10,private,hybrid,82,frequently,5887,4,0,2282
female,16,walk/bicycle,,240,never,58,6,22,1411
female,21,private,electric,236,rarely,3586,5,4,1279
female,20,walk/bicycle,,190,frequently,47,2,8,1803
male,4,public,,142,very frequently,1708,6,6,3173
female,0,public,,179,frequently,838,5,8,1864
female,16,public,,132,frequently,1045,1,18,1310
male,2,walk/bicycle,,113,frequently,67,7,15,2211
male,1,walk/bicycle,,296,frequently,1,2,14,1863
male,19,public,,219,rarely,403,6,11,1703
male,3,public,,98,never,1888,4,15,1714
female,17,public,,235,rarely,1920,6,10,1817
female,24,public,,146,never,661,5,1,1057
female,23,public,,102,frequently,1856,6,24,1757
female,20,public,,125,very frequently,875,7,9,2192
male,2,walk/bicycle,,82,frequently,63,5,17,2148
female,0,private,hybrid,132,never,7092,4,2,2319
female,5,public,,142,rarely,579,3,14,1231
male,23,public,,50,frequently,1886,1,15,1962
male,10,public,,85,frequently,248,1,15,1478
female,9,public,,222,very frequently,1946,1,0,2542
male,9,public,,191,never,1024,2,9,1059
female,6,public,,247,rarely,1590,2,10,1216
female,22,public,,111,never,870,3,18,1314
male,22,public,,225,rarely,1118,5,16,2028
female,23,public,,161,very frequently,60,5,6,2462
male,24,private,diesel,115,very frequently,2956,2,10,3446
male,23,walk/bicycle,,75,never,79,7,10,1385
female,3,public,,212,frequently,1082,5,1,1654
female,23,public,,81,rarely,1602,4,7,1184
male,8,private,hybrid,105,very frequently,7567,6,20,4377
female,3,walk/bicycle,,173,rarely,78,5,9,1494
male,0,private,diesel,126,frequently,3589,5,3,2422
female,23,walk/bicycle,,124,never,80,1,6,1187
male,19,walk/bicycle,,58,very frequently,2,5,9,2673
female,12,walk/bicycle,,91,never,56,7,12,1095
female,0,private,electric,254,frequently,8180,3,8,1948
male,5,public,,119,very frequently,25,6,8,2427
male,0,walk/bicycle,,265,never,99,7,7,1486
female,23,private,hybrid,243,never,2024,5,2,2417
female,0,private,hybrid,209,very frequently,5583,2,2,2982
female,5,walk/bicycle,,272,frequently,1,4,15,1687
female,13,walk/bicycle,,128,very frequently,54,4,15,2370
female,4,public,,215,frequently,1592,6,13,2227
female,22,public,,198,frequently,1379,2,0,1194
female,9,walk/bicycle,,85,never,77,2,11,925
male,14,private,diesel,111,rarely,8109,4,5,3552
male,13,walk/bicycle,,162,never,18,5,1,1530
male,4,public,,288,very frequently,1977,4,10,3068
male,3,walk/bicycle,,231,very frequently,5,3,18,3082
male,3,walk/bicycle,,79,frequently,42,2,20,1405
female,12,private,electric,202,rarely,5743,4,1,1557
female,21,private,petrol,284,rarely,4994,1,19,3534
female,0,public,,190,frequently,1238,7,13,1803
male,21,private,lpg,291,frequently,4127,3,18,3717
male,13,private,petrol,250,rarely,8264,2,19,4952
male,19,public,,77,never,1564,1,24,1223
male,19,private,electric,281,frequently,6484,7,0,2842
male,12,walk/bicycle,,130,rarely,46,1,18,1184
female,4,public,,120,frequently,919,1,0,1729
female,5,private,petrol,113,rarely,7762,6,14,4180
female,17,public,,234,rarely,1140,7,3,2444
male,19,walk/bicycle,,101,never,21,2,6,1150
male,16,private,petrol,230,very frequently,4302,6,6,4513
male,4,walk/bicycle,,223,never,96,2,15,615
female,20,private,diesel,192,frequently,7397,7,6,4426
female,2,public,,111,rarely,1236,7,18,1365
female,20,walk/bicycle,,144,rarely,6,1,10,1563
female,2,private,hybrid,80,never,3635,2,1,1265
female,1,walk/bicycle,,123,very frequently,21,7,7,3813
female,8,walk/bicycle,,164,very frequently,89,4,13,2689
female,11,walk/bicycle,,85,very frequently,67,1,18,1975
male,10,walk/bicycle,,64,never,38,4,2,1425
male,10,walk/bicycle,,54,rarely,80,6,3,1950
female,22,public,,122,very frequently,934,4,1,2853
female,20,public,,282,rarely,1964,2,18,1465
female,7,public,,292,frequently,171,3,17,1935
female,18,private,hybrid,157,very frequently,6299,5,8,3716
female,22,walk/bicycle,,232,very frequently,57,1,17,2613
female,9,private,hybrid,91,rarely,6069,3,20,2330
female,1,private,hybrid,141,frequently,2072,6,1,2138
female,10,walk/bicycle,,125,frequently,48,4,7,2088
female,9,walk/bicycle,,220,very frequently,35,5,8,3764
male,7,public,,81,rarely,1520,7,13,2657
female,15,public,,83,rarely,1031,2,4,1313
female,4,walk/bicycle,,285,frequently,1,2,10,1906
female,4,walk/bicycle,,233,very frequently,65,3,10,2993
female,11,private,diesel,210,very frequently,6910,3,16,3230
female,19,private,hybrid,143,very frequently,6258,1,9,3671
female,22,public,,254,very frequently,71,3,12,2585
female,20,walk/bicycle,,195,never,46,3,22,1105
male,13,private,lpg,96,rarely,7094,4,14,2840
female,20,walk/bicycle,,254,rarely,79,2,14,1052
male,24,private,petrol,139,rarely,3967,1,4,2475
female,12,private,lpg,212,rarely,3581,4,11,2320
male,3,private,hybrid,191,never,477,2,7,1455
female,24,private,electric,175,frequently,1825,2,1,1581
male,11,private,diesel,166,never,7955,6,21,3065
male,23,walk/bicycle,,274,rarely,70,3,13,2074
male,3,walk/bicycle,,207,rarely,98,4,21,1407
female,19,walk/bicycle,,176,very frequently,21,2,4,2723
male,21,walk/bicycle,,113,never,61,2,18,1240
male,18,private,electric,81,rarely,4360,6,22,1868
male,20,private,diesel,229,never,8057,1,20,2790
male,17,walk/bicycle,,211,never,53,1,11,1629
male,16,private,lpg,190,very frequently,6654,1,15,4437
female,16,walk/bicycle,,195,never,39,7,0,2019
female,4,walk/bicycle,,143,very frequently,28,1,16,1874
female,4,private,diesel,155,frequently,166,5,2,1088
female,21,public,,295,rarely,514,2,14,1541
male,21,private,hybrid,67,very frequently,3746,1,15,3313
female,9,private,petrol,213,frequently,8432,6,14,5439
female,17,private,diesel,50,frequently,1216,3,10,1566
male,0,walk/bicycle,,93,very frequently,59,6,11,2364
male,19,walk/bicycle,,221,never,19,7,14,1975
female,20,walk/bicycle,,193,frequently,11,4,6,2342
male,3,walk/bicycle,,188,frequently,15,4,1,2228
male,12,public,,250,rarely,1457,4,23,1801
male,0,public,,266,frequently,129,3,19,1857
male,0,private,lpg,188,rarely,3103,6,5,1561
male,1,walk/bicycle,,247,very frequently,20,6,24,2528
female,22,walk/bicycle,,111,very frequently,44,6,0,2100
male,18,walk/bicycle,,117,frequently,50,4,13,1841
female,15,private,petrol,168,very frequently,5779,7,21,3963
male,3,public,,183,frequently,1257,3,15,2269
male,7,walk/bicycle,,127,frequently,36,3,10,1799
male,3,private,electric,149,very frequently,216,7,5,2558
male,13,public,,143,frequently,997,7,15,2938
male,9,public,,166,frequently,250,7,18,2229
female,12,private,electric,108,never,1066,6,18,1043
female,20,walk/bicycle,,226,never,38,6,3,1779
male,16,public,,134,never,1510,4,7,1385
male,14,private,electric,243,frequently,8162,7,15,1702
male,23,public,,274,frequently,1098,4,11,2525
female,16,walk/bicycle,,148,frequently,77,1,16,1952
female,2,public,,74,frequently,1233,1,6,1361
female,2,walk/bicycle,,183,frequently,55,4,17,2245
female,22,private,petrol,163,rarely,6296,7,14,3927
male,19,walk/bicycle,,162,never,53,2,6,1012
male,6,private,hybrid,299,very frequently,2670,1,4,3202
female,16,public,,72,very frequently,575,7,23,2359
male,18,walk/bicycle,,166,very frequently,95,1,17,3569
male,7,public,,113,rarely,809,4,15,1510
female,12,public,,182,very frequently,390,2,17,1928
female,14,public,,237,never,1409,3,3,1726
female,5,private,diesel,113,very frequently,8585,3,16,4414
female,0,private,lpg,253,very frequently,4444,6,21,3257
male,23,walk/bicycle,,53,rarely,98,6,12,2074
male,24,public,,70,never,1828,4,24,1617
female,10,public,,294,never,1557,4,4,1568
female,6,public,,74,frequently,1099,6,21,1749
female,24,private,diesel,178,very frequently,3956,7,16,3247
male,11,public,,242,very frequently,1718,1,8,2854
female,23,public,,169,frequently,442,5,18,2012
female,21,public,,264,frequently,304,1,19,1530
female,18,walk/bicycle,,242,frequently,8,7,0,1897
female,18,public,,162,very frequently,1948,3,19,2749
female,18,walk/bicycle,,85,very frequently,64,3,16,2552
male,22,public,,135,frequently,1780,3,2,2893
male,10,walk/bicycle,,162,rarely,3,6,5,1576
female,2,public,,221,frequently,888,6,13,1944
male,6,walk/bicycle,,184,very frequently,91,3,13,2080
male,21,walk/bicycle,,76,frequently,45,1,23,2058
male,9,walk/bicycle,,114,very frequently,79,1,24,2354
male,9,private,lpg,102,frequently,7337,5,6,4845
female,1,walk/bicycle,,273,frequently,24,6,9,2266
female,11,private,electric,50,very frequently,7475,4,18,2118
female,24,public,,184,very frequently,1654,1,22,2812
male,24,walk/bicycle,,273,frequently,2,3,24,2286
female,11,public,,197,never,1423,4,23,1437
male,7,public,,281,very frequently,920,2,5,3177
male,23,walk/bicycle,,180,frequently,79,3,7,1350
male,9,private,electric,221,never,5608,1,4,1236
female,23,walk/bicycle,,142,rarely,38,7,7,1986
male,18,public,,299,never,1660,7,2,2105
female,24,public,,74,never,697,4,18,1348
female,9,public,,80,frequently,588,6,0,1606
male,18,public,,298,never,861,2,14,1476
female,11,private,lpg,117,frequently,7148,3,14,3530
female,10,private,electric,79,frequently,8148,2,12,1559
female,13,walk/bicycle,,130,very frequently,6,1,10,2720
male,24,walk/bicycle,,123,never,28,2,20,968
male,10,public,,215,rarely,1980,4,14,1402
male,3,public,,247,very frequently,150,2,3,2917
male,15,private,lpg,186,frequently,2722,4,11,2431
male,4,private,lpg,238,rarely,3624,5,18,3122
male,2,walk/bicycle,,68,very frequently,1,5,20,3236
male,11,walk/bicycle,,247,rarely,61,6,13,2317
female,4,walk/bicycle,,294,frequently,11,2,22,2023
female,24,private,electric,233,never,5875,2,24,1887
female,10,walk/bicycle,,294,rarely,46,6,23,2092
male,11,public,,222,never,1200,3,3,1666
female,1,public,,291,very frequently,1365,6,14,2679
male,7,walk/bicycle,,271,rarely,80,6,4,1691
male,7,private,diesel,89,never,7226,5,19,3197
female,6,public,,181,frequently,441,6,8,2547
male,19,public,,264,very frequently,47,6,4,3270
female,22,public,,235,rarely,845,6,12,1599
female,22,private,electric,53,never,7916,1,23,768
male,17,walk/bicycle,,203,very frequently,71,1,12,2732
female,18,walk/bicycle,,51,very frequently,81,5,22,2458
female,15,walk/bicycle,,181,very frequently,18,3,9,2028
female,24,public,,96,very frequently,1814,2,2,3071
male,12,walk/bicycle,,150,very frequently,42,6,16,3161
male,23,private,hybrid,252,frequently,6474,5,14,3583
female,22,public,,148,very frequently,1588,1,16,1941
female,17,walk/bicycle,,70,never,59,6,6,1376
male,17,walk/bicycle,,66,very frequently,68,2,5,3131
male,2,public,,226,very frequently,1741,1,9,3619
female,8,public,,218,frequently,532,3,23,2022
female,0,private,lpg,85,rarely,8442,7,12,4346
male,9,walk/bicycle,,87,very frequently,42,6,16,2997
female,17,private,hybrid,61,rarely,5259,7,15,3300
male,13,public,,277,very frequently,574,7,2,3372
female,2,private,petrol,223,frequently,1069,4,24,2091
female,1,private,petrol,139,very frequently,3271,3,20,3466
male,15,private,petrol,151,very frequently,4731,4,16,4813
female,9,public,,147,rarely,353,6,10,1745
male,14,private,hybrid,109,never,2886,1,13,1555
female,5,public,,54,rarely,1527,2,24,695
male,13,walk/bicycle,,136,very frequently,80,6,18,2793
male,24,walk/bicycle,,154,frequently,74,4,8,2543
female,13,private,electric,282,frequently,4113,3,1,2268
female,5,public,,299,rarely,1926,6,7,1877
female,1,public,,127,frequently,792,7,0,1960
male,14,walk/bicycle,,128,frequently,99,4,16,1786
male,16,walk/bicycle,,207,very frequently,61,6,10,2423
male,16,walk/bicycle,,153,never,7,3,8,1439
female,18,walk/bicycle,,176,rarely,38,7,24,2471
male,9,walk/bicycle,,251,never,18,7,14,1367
female,0,walk/bicycle,,203,never,91,1,15,788
female,9,walk/bicycle,,117,frequently,61,3,15,1661
male,6,walk/bicycle,,216,rarely,35,6,8,1542
female,13,private,electric,136,never,5626,2,7,511
female,24,public,,134,frequently,255,7,15,1916
male,6,walk/bicycle,,123,never,65,4,9,1024
male,16,walk/bicycle,,74,never,31,3,15,1403
female,20,walk/bicycle,,147,very frequently,73,6,2,3221
male,11,private,diesel,195,rarely,9246,6,24,4858
female,13,walk/bicycle,,54,rarely,23,5,20,778
female,6,private,hybrid,98,frequently,9142,2,7,3594
female,8,public,,204,never,963,2,22,1020
female,10,private,electric,108,rarely,7760,6,0,1506
female,5,private,lpg,126,never,7809,5,11,3070
male,12,private,petrol,59,frequently,3637,5,9,2908
male,18,public,,182,frequently,1382,2,17,2549
male,0,public,,78,rarely,792,6,15,2189
male,8,public,,295,never,405,7,4,1244
female,6,walk/bicycle,,280,rarely,44,3,2,1377
female,15,private,diesel,263,rarely,6474,5,20,2410
male,6,walk/bicycle,,207,never,8,6,21,1513
male,12,private,electric,252,never,8405,2,7,1392
male,8,public,,274,frequently,1421,7,19,1979
male,18,private,electric,108,very frequently,369,4,1,2869
female,19,public,,239,frequently,1267,1,6,1776
female,10,private,hybrid,166,frequently,9088,7,14,3214
female,19,walk/bicycle,,231,never,42,2,15,892
female,7,private,lpg,298,very frequently,3018,1,11,3552
male,10,public,,260,rarely,1352,7,4,2228
female,11,private,hybrid,231,never,3403,1,15,2065
male,3,walk/bicycle,,196,never,38,6,6,2789
male,24,private,lpg,223,very frequently,289,1,0,2681
male,3,public,,104,very frequently,1360,6,9,3432
male,23,walk/bicycle,,270,frequently,1,3,3,1795
female,14,private,diesel,291,very frequently,9237,2,15,5884
male,17,public,,189,frequently,119,6,6,1773
female,21,walk/bicycle,,60,frequently,42,3,19,1536
male,1,walk/bicycle,,162,frequently,32,2,14,2811
male,11,private,hybrid,71,very frequently,9041,1,3,4706
female,3,public,,171,never,99,6,21,1325
female,20,private,lpg,210,frequently,7423,4,4,3906
male,15,walk/bicycle,,72,rarely,96,6,21,1888
male,22,public,,247,very frequently,91,7,12,3030
male,7,private,electric,223,very frequently,6292,2,16,3604
male,16,private,lpg,240,frequently,9818,1,15,4990
female,1,private,diesel,83,very frequently,2195,5,24,2745
male,20,private,diesel,203,rarely,6573,6,15,3542
female,10,private,diesel,296,frequently,8592,5,24,3198
female,22,private,hybrid,84,rarely,5320,5,21,2050
male,6,walk/bicycle,,116,very frequently,29,5,12,2205
male,1,public,,208,frequently,970,7,5,2015
male,6,private,electric,226,never,5847,4,8,1482
female,8,walk/bicycle,,143,rarely,82,2,7,1642
male,0,public,,122,never,399,1,14,973
male,6,private,electric,175,very frequently,2010,5,0,3439
female,1,private,lpg,240,rarely,1295,6,21,1742
male,13,public,,187,very frequently,1374,5,10,3310
male,3,public,,250,rarely,1959,4,13,1702
female,17,public,,164,frequently,369,1,17,1533
female,21,private,electric,243,very frequently,4208,1,24,1916
male,12,public,,282,very frequently,1015,4,20,2866
female,2,private,diesel,107,never,9597,1,20,3307
male,23,walk/bicycle,,207,rarely,84,2,4,1082
female,13,walk/bicycle,,213,frequently,34,6,13,2119
male,18,walk/bicycle,,190,very frequently,48,4,14,3247
female,21,walk/bicycle,,191,very frequently,56,4,14,2265
male,19,walk/bicycle,,152,never,41,5,4,1354
female,0,walk/bicycle,,125,very frequently,2,6,8,2753
female,14,walk/bicycle,,137,frequently,4,2,10,1600
female,21,public,,198,never,1410,2,3,1186
male,14,public,,242,rarely,24,4,22,2098
male,2,public,,72,never,1415,7,7,1823
male,4,private,hybrid,237,never,6119,6,9,2085
male,14,public,,72,frequently,75,2,21,2473
female,14,private,petrol,290,never,7973,1,8,4684
female,2,public,,192,never,1494,6,13,1495
male,3,private,lpg,120,frequently,1505,3,3,1761
male,4,private,lpg,100,very frequently,9982,6,19,5069
male,23,walk/bicycle,,156,rarely,83,4,7,1140
female,15,private,petrol,97,rarely,9146,2,6,4045
female,4,public,,164,very frequently,1966,7,13,2560
male,23,private,petrol,109,never,8453,3,13,3867
male,23,public,,190,rarely,1651,2,14,1470
male,18,public,,106,frequently,1990,3,19,2341
male,8,private,petrol,185,very frequently,7955,6,12,5687
female,16,walk/bicycle,,193,frequently,43,4,5,2032
female,7,private,electric,229,very frequently,7676,3,6,2499
female,11,walk/bicycle,,263,rarely,23,2,22,1825
female,9,walk/bicycle,,72,rarely,86,6,19,1829
female,13,private,lpg,263,never,315,3,6,866
female,15,walk/bicycle,,95,very frequently,25,6,16,2601
male,12,walk/bicycle,,164,very frequently,48,5,21,2965
male,21,public,,176,never,1945,7,5,1068
male,5,private,electric,215,very frequently,1299,6,9,3361
female,3,public,,275,very frequently,923,7,5,3220
female,0,public,,100,very frequently,1504,2,22,2487
female,14,walk/bicycle,,107,frequently,29,2,19,1536
male,22,private,petrol,197,very frequently,5676,2,8,4338
male,7,walk/bicycle,,169,very frequently,96,6,23,3332
female,8,public,,138,frequently,1510,5,18,1606
male,10,walk/bicycle,,147,very frequently,58,2,6,2132
female,13,walk/bicycle,,112,very frequently,11,2,13,1780
female,19,walk/bicycle,,222,very frequently,60,5,4,1730
male,23,private,petrol,151,rarely,7968,3,11,4950
male,24,private,lpg,94,never,3443,4,23,3041
male,22,public,,286,never,1150,6,19,923
male,9,public,,119,rarely,54,6,21,2033
male,18,private,lpg,64,rarely,1239,5,19,1596
female,5,walk/bicycle,,130,frequently,16,5,19,1686
male,8,public,,66,very frequently,1959,7,9,3291
female,5,walk/bicycle,,152,rarely,62,3,12,1133
male,16,private,electric,211,rarely,7189,2,17,1589
male,15,private,petrol,176,rarely,2165,4,0,2572
male,2,private,petrol,83,frequently,7063,4,20,4136
male,13,public,,146,very frequently,1796,6,6,3154
female,9,public,,217,frequently,1405,5,12,2086
female,20,private,electric,255,very frequently,6113,7,18,1951
male,9,private,lpg,85,frequently,1430,7,16,2330
female,16,private,diesel,57,very frequently,5157,2,6,3842
male,23,private,hybrid,243,rarely,830,7,20,2441
male,22,private,diesel,295,very frequently,1597,5,9,3147
female,1,public,,267,never,1377,4,3,946
female,8,walk/bicycle,,138,rarely,43,2,3,1229
female,14,private,lpg,215,rarely,7044,5,15,3143
female,5,private,hybrid,132,very frequently,9604,1,12,3572
male,16,public,,85,very frequently,1935,5,13,2869
female,21,walk/bicycle,,271,rarely,26,6,18,1598
male,2,private,electric,175,rarely,9259,4,13,1711
female,2,public,,195,very frequently,659,4,10,1844
female,10,walk/bicycle,,94,frequently,38,1,5,1444
male,16,private,diesel,73,rarely,2883,1,11,2068
male,13,public,,163,never,352,2,11,951
male,13,walk/bicycle,,54,frequently,13,6,15,2153
male,12,public,,118,never,1604,3,24,994
female,13,private,lpg,112,never,1715,7,24,1371
male,8,private,electric,116,very frequently,465,4,19,3231
male,22,public,,288,frequently,39,3,5,2356
male,2,public,,86,never,893,4,17,1312
female,14,public,,245,never,1567,7,13,1463
male,15,private,hybrid,280,frequently,9683,7,18,5176
male,8,walk/bicycle,,289,very frequently,77,4,1,3348
male,4,walk/bicycle,,285,never,53,7,16,1807
female,1,private,petrol,112,never,8916,4,8,4640
female,19,public,,89,very frequently,1979,3,15,2631
female,9,walk/bicycle,,283,very frequently,6,1,14,2256
female,13,private,lpg,100,frequently,7871,1,20,2775
female,3,public,,146,frequently,779,3,4,1246
male,14,private,hybrid,54,very frequently,5846,1,23,3610
male,1,walk/bicycle,,109,frequently,28,1,13,2548
female,23,private,lpg,68,frequently,6590,7,7,3052
female,4,public,,50,frequently,1779,6,23,2363
male,8,public,,101,frequently,867,6,5,2399
male,23,private,lpg,271,very frequently,7513,7,19,4580
female,14,private,hybrid,147,very frequently,5557,6,22,3258
male,18,private,diesel,184,never,5792,3,1,3129
male,1,walk/bicycle,,72,frequently,53,5,1,2647
female,21,walk/bicycle,,203,never,77,2,11,1356
male,4,private,lpg,279,frequently,1222,3,5,2130
female,13,public,,233,rarely,1251,6,8,1485
male,13,private,lpg,168,frequently,2363,2,16,2746
male,9,walk/bicycle,,76,very frequently,8,6,10,3110
female,24,private,hybrid,127,never,2740,3,9,1381
female,2,walk/bicycle,,224,never,61,4,18,1067
female,0,private,lpg,147,frequently,942,1,2,2147
male,1,public,,295,rarely,1378,3,4,1668
female,1,walk/bicycle,,160,rarely,87,4,8,1376
male,20,walk/bicycle,,96,rarely,8,5,23,1316
female,18,public,,209,frequently,276,7,11,2627
male,2,public,,201,very frequently,1364,7,24,3187
male,4,private,electric,77,very frequently,7699,2,15,3038
male,19,walk/bicycle,,80,never,69,2,10,1130
male,23,private,hybrid,161,very frequently,7724,4,13,3725
female,5,public,,242,never,1672,1,3,1539
male,5,public,,105,rarely,520,4,13,1597
female,22,private,electric,251,rarely,8406,1,24,606
male,18,public,,122,frequently,691,1,0,1942
male,14,walk/bicycle,,186,never,21,4,16,1208
male,6,public,,181,very frequently,1931,6,16,2875
male,2,private,lpg,209,very frequently,8773,6,17,6093
female,8,walk/bicycle,,72,frequently,18,5,22,1953
male,14,private,diesel,268,frequently,3731,3,22,4130
male,18,private,electric,74,frequently,8155,6,13,2935
female,23,public,,60,rarely,755,1,21,844
male,24,public,,135,very frequently,371,1,21,3365
female,22,walk/bicycle,,158,rarely,7,2,16,1931
male,23,walk/bicycle,,286,never,51,4,14,1785
female,5,walk/bicycle,,131,frequently,88,6,4,2581
female,13,private,lpg,84,never,9425,1,9,3495
female,9,walk/bicycle,,110,rarely,40,4,17,1083
male,3,public,,89,very frequently,1091,3,7,2028
male,19,private,petrol,208,frequently,3150,3,8,3425
female,4,walk/bicycle,,228,frequently,78,5,18,1316
female,1,private,diesel,189,frequently,3220,2,9,2686
female,11,private,electric,138,rarely,298,1,7,1009
male,19,private,diesel,68,very frequently,502,5,14,3218
female,10,public,,198,frequently,826,7,15,2598
female,3,walk/bicycle,,283,rarely,9,2,11,1245
male,0,private,diesel,135,frequently,1743,1,20,2281
male,2,walk/bicycle,,259,rarely,67,1,0,1096
male,7,walk/bicycle,,267,never,23,2,5,1486
female,17,private,diesel,250,frequently,3974,7,5,3482
male,19,private,diesel,241,never,3080,6,6,2542
female,24,public,,260,rarely,1539,5,15,1688
male,11,walk/bicycle,,91,rarely,16,2,6,1799
female,6,walk/bicycle,,192,frequently,93,3,12,1461
male,17,public,,129,never,666,4,1,1278
female,1,walk/bicycle,,54,frequently,60,1,24,1474
female,21,walk/bicycle,,88,frequently,88,4,5,2465
male,23,walk/bicycle,,87,rarely,68,1,24,1226
female,16,walk/bicycle,,265,never,89,1,17,1013
male,4,walk/bicycle,,288,rarely,97,7,20,1587
female,11,walk/bicycle,,218,rarely,42,7,2,1296
female,18,walk/bicycle,,299,never,83,5,2,1377
male,21,walk/bicycle,,54,very frequently,31,4,8,2580
female,14,public,,247,frequently,1495,2,0,1684
male,21,walk/bicycle,,94,never,67,7,11,1787
male,1,walk/bicycle,,188,frequently,44,1,1,1276
male,10,public,,59,rarely,1914,3,20,1585
male,21,private,diesel,102,never,4334,2,14,2386
male,14,private,lpg,69,rarely,2352,6,1,1991
female,21,private,hybrid,54,frequently,8443,1,3,3202
male,20,public,,65,rarely,571,7,22,2005
female,12,walk/bicycle,,178,frequently,19,2,11,1808
female,19,private,diesel,65,very frequently,9969,3,24,4350
female,22,private,diesel,86,frequently,9844,5,13,4570
female,24,public,,288,frequently,1158,5,17,2078
male,16,private,electric,114,rarely,3711,5,8,1761
male,16,public,,60,very frequently,1902,2,2,3062
